"Status Code/Type"	"Row Name"	"Run #"	A	B	C	D	Diameter	E	F	G	H	Hole_Elem_Num	postFailTSAIW_CF	"Design Feasibility"	"Objective and Penalty"	"Objective Function"	"Penalty Function"
OK	Optimization[1]/Subflow[126]	126	67.49373216413619	15.53569671730338	26.644011611052306	-20.729754331706857	6	-36.891143697395364	26.187843879220594	17.68293950665469	63.448233984789226	30	1.17190659046	9	1.17190659046	1.17190659046	0
OK	Optimization[1]/Subflow[127]	127	67.25935036071832	15.617339724279546	27.376520712640314	-20.723917439027588	6	-37.00693753362394	26.195237705275503	17.812260239785502	63.40898743228533	30	1.18246054649	7	1.18246054649	1.18246054649	0
OK	Optimization[1]/Subflow[128]	128	67.85017086200739	18.39549464216661	27.268118430869094	-20.705627482441713	6	-30.121050744488954	30.965728404907807	17.679951144952014	63.45756938425603	30	1.23098731041	7	1.23098731041	1.23098731041	0
OK	Optimization[1]/Subflow[129]	129	67.29600684115405	15.539556266017286	26.78537826210284	-20.63143427665355	6	-36.87971450318345	26.40064936525971	17.867696877865114	63.60028882760054	30	1.18633449078	7	1.18633449078	1.18633449078	0
OK	Optimization[1]/Subflow[130]	130	67.9251679247088	15.722736251780503	26.586269924442647	-20.859336438930384	6	-37.04070350289589	26.35135556594207	17.445932832025235	63.75388705523801	30	1.1905425787	7	1.1905425787	1.1905425787	0
OK	Optimization[1]/Subflow[131]	131	67.50251078808705	15.54167621507537	26.62529066607196	-20.708233649970467	6	-36.905044687274675	26.25343846437208	17.662074258662813	63.50652742951095	30	1.17326617241	7	1.17326617241	1.17326617241	0
OK	Optimization[1]/Subflow[132]	132	67.99356426272192	15.217584994538413	37.21359595957817	-16.36177911427464	6	-36.890766067336855	26.354834575819424	17.659659716210058	62.14154772867235	30	1.23527979851	7	1.23527979851	1.23527979851	0
OK	Optimization[1]/Subflow[133]	133	67.79295823493169	17.310273200863406	23.059309824990095	-23.447396906635106	6	-8.548514642716839	29.32068918072615	18.981590533098483	64.59943825278276	30	1.16053700447	9	1.16053700447	1.16053700447	0
OK	Optimization[1]/Subflow[134]	134	71.39719274487476	57.96869129482863	25.498351433918728	-34.52769828576449	6	-38.94589886925127	27.777141457678994	32.380764644477	65.68976848255352	30	2.76714777946	7	2.76714777946	2.76714777946	0
OK	Optimization[1]/Subflow[135]	135	66.68034994587521	15.44319807664749	31.179428398516663	-20.97311135440883	6	-36.91215310776486	26.130159971145574	17.766821421601634	62.69984461953908	30	1.18957579136	7	1.18957579136	1.18957579136	0
OK	Optimization[1]/Subflow[136]	136	67.47913239851098	15.536326984799658	26.588642014596644	-20.14172438715147	6	-36.89131099078061	26.186953513044628	17.78228826254002	63.42859474346142	30	1.17401170731	7	1.17401170731	1.17401170731	0
OK	Optimization[1]/Subflow[137]	137	67.28195959043259	15.54165919154454	26.67121431144625	-20.701535403233223	6	-36.99075897912186	26.186834234480017	17.7542045503546	63.43018182794063	30	1.17744612694	7	1.17744612694	1.17744612694	0
OK	Optimization[1]/Subflow[138]	138	67.88087685492096	15.530359218322829	26.7757767026727	-20.70712217703216	6	-33.75178907679114	31.75024948792668	17.677845491068496	63.459646950790074	30	1.18282806873	7	1.18282806873	1.18282806873	0
OK	Optimization[1]/Subflow[139]	139	67.44097575210225	15.537561052771707	26.79117767755116	-20.57032770405455	6	-36.87056016904114	26.216219566388276	17.77085280395532	63.55452522106992	30	1.17708957195	7	1.17708957195	1.17708957195	0
OK	Optimization[1]/Subflow[140]	140	67.89737335308016	15.411310508530605	26.741252314836714	-20.72984278233035	6	-37.03338670358749	26.26611631020384	17.631283735176666	63.55535705929532	30	1.17942941189	7	1.17942941189	1.17942941189	0
OK	Optimization[1]/Subflow[141]	141	67.72306807023256	16.551875169652277	24.54700255634829	-22.12553138295867	6	-13.016895908655997	26.439176453773413	18.713382953604082	63.45881769499832	30	1.21516287327	7	1.21516287327	1.21516287327	0
OK	Optimization[1]/Subflow[142]	142	67.82245852162788	15.794775060552467	31.282349195120474	-17.91249579080271	6	-19.56941187499011	28.701872183973933	17.77937001680435	63.63887987857896	30	1.09341931343	9	1.09341931343	1.09341931343	0
OK	Optimization[1]/Subflow[143]	143	67.81595203178716	17.182991020531873	23.92387452742109	-23.036963687693344	6	-10.43981084316934	28.00317055366449	18.79349136094578	64.1900644126477	30	1.11015295982	7	1.11015295982	1.11015295982	0
OK	Optimization[1]/Subflow[144]	144	67.96422632243267	24.726097550820256	23.81611707371242	-27.206214573970925	6	-32.089970383950565	27.793401992255326	28.641256442905288	64.88880521777097	30	1.49479305744	7	1.49479305744	1.49479305744	0
OK	Optimization[1]/Subflow[145]	145	67.08453748335023	16.300007786726354	25.543626122576057	-16.382864726463183	6	-12.9744873295666	26.308452031900984	26.263985321300623	63.54156580422415	30	1.1731171608	7	1.1731171608	1.1731171608	0
OK	Optimization[1]/Subflow[146]	146	67.69420058456436	16.73319925901636	24.90390626089429	-21.60884726314697	6	-23.705274478845993	27.489886728115664	18.34367970936657	63.65399126859484	30	1.12783324718	7	1.12783324718	1.12783324718	0
OK	Optimization[1]/Subflow[147]	147	67.31060711733835	16.35116005832036	26.204938647101784	-22.20187177095343	6	-24.653808404090626	27.33025163771771	18.591118499732815	64.3399586854421	30	1.08659505844	9	1.08659505844	1.08659505844	0
OK	Optimization[1]/Subflow[148]	148	67.85716489929561	15.47791748957816	26.136492858989826	-21.197040110781046	6	-15.188315191247355	31.13465973598329	18.77228894351849	63.874061939796746	30	1.09346222878	7	1.09346222878	1.09346222878	0
OK	Optimization[1]/Subflow[149]	149	67.48150884480415	16.252971524273747	24.798744584786434	-22.654266291360898	6	-24.30626848689613	28.026204697770467	17.985504960351705	64.11779770960413	30	1.10051035881	7	1.10051035881	1.10051035881	0
OK	Optimization[1]/Subflow[150]	150	67.81779039526472	16.742780168978854	24.30359917113101	-21.904438220814143	6	-17.712644646378692	27.686789437753646	17.826797611604803	64.43576388553154	30	1.18140935898	7	1.18140935898	1.18140935898	0
OK	Optimization[1]/Subflow[151]	151	67.55477395268827	15.808401389259231	26.43025627425844	-21.927377939872756	6	-24.605093999623733	26.97080321150871	18.488125045662784	63.48426608391301	30	1.11455106735	7	1.11455106735	1.11455106735	0
